jj=438, kk=347, dout(348)=-35+j-15, indexsum=13
jj=439, kk=219, dout(220)=17+j-41, indexsum=14
jj=440, kk=475, dout(476)=-23+j12, indexsum=14
jj=441, kk=59, dout(60)=-15+j-75, indexsum=14
jj=442, kk=315, dout(316)=-61+j63, indexsum=14
jj=443, kk=187, dout(188)=33+j75, indexsum=14
jj=444, kk=443, dout(444)=-20+j-40, indexsum=14
jj=445, kk=123, dout(124)=-118+j134, indexsum=14
jj=446, kk=379, dout(380)=52+j57, indexsum=14
jj=447, kk=251, dout(252)=0+j157, indexsum=13
jj=448, kk=507, dout(508)=16+j82, indexsum=13
jj=449, kk=7, dout(8)=122+j-85, indexsum=11
jj=450, kk=263, dout(264)=26+j117, indexsum=14
jj=451, kk=135, dout(136)=-57+j-36, indexsum=14
jj=452, kk=391, dout(392)=-201+j-119, indexsum=14
jj=453, kk=71, dout(72)=-6+j-90, indexsum=14
jj=454, kk=327, dout(328)=-101+j35, indexsum=13
jj=455, kk=199, dout(200)=-72+j75, indexsum=13
jj=456, kk=455, dout(456)=-67+j16, indexsum=13
jj=457, kk=39, dout(40)=-40+j-144, indexsum=14
jj=458, kk=295, dout(296)=123+j-258, indexsum=14
jj=459, kk=167, dout(168)=-90+j-46, indexsum=14
jj=460, kk=423, dout(424)=9+j216, indexsum=14
jj=461, kk=103, dout(104)=66+j-38, indexsum=14
jj=462, kk=359, dout(360)=-102+j45, indexsum=13
jj=463, kk=231, dout(232)=-6+j116, indexsum=13
jj=464, kk=487, dout(488)=-7+j102, indexsum=13
jj=465, kk=23, dout(24)=39+j-84, indexsum=13
jj=466, kk=279, dout(280)=2+j41, indexsum=14
jj=467, kk=151, dout(152)=6+j18, indexsum=14
jj=468, kk=407, dout(408)=39+j74, indexsum=13
jj=469, kk=87, dout(88)=1+j-7, indexsum=13
jj=470, kk=343, dout(344)=7+j74, indexsum=14
jj=471, kk=215, dout(216)=97+j61, indexsum=14
jj=472, kk=471, dout(472)=-129+j62, indexsum=14
jj=473, kk=55, dout(56)=-57+j-59, indexsum=14
jj=474, kk=311, dout(312)=76+j-58, indexsum=14
jj=475, kk=183, dout(184)=-128+j-61, indexsum=14
jj=476, kk=439, dout(440)=-6+j-26, indexsum=14
jj=477, kk=119, dout(120)=2+j-58, indexsum=14
jj=478, kk=375, dout(376)=-17+j1, indexsum=14
jj=479, kk=247, dout(248)=-2+j-15, indexsum=13
jj=480, kk=503, dout(504)=24+j-85, indexsum=14
jj=481, kk=15, dout(16)=17+j-146, indexsum=13
jj=482, kk=271, dout(272)=-160+j-33, indexsum=14
